objectid,title,narrator,interviewer,date,year,location,time-period-covered,length-of-interview,subject,subject-1,subject-2,subject-3,type,format,format-free,transcript-available,biography-available,release-form-available,catalog-number-if-applicable,institution,address,phone,email,website,notes
wyomingoralhistory001,Elmer Danks Oral History Interview (2005),Elmer Danks,Barbara Bogart,2005,2005,"Evanston, WY",,,Railroads;Roundhouses;,Railroads,Roundhouses,,audio-cassette,record,Audio-cassette,,,,2001.008.808,Uinta County Museum,"1020 Front St., Evanston, WY 82930",(307) 789-8248,museum@nglconnection.net,http://www.uintacounty.com/28/Uinta-County-Museum,"""Working on the 'Road"" Project"
wyomingoralhistory002,Terry Kimble Oral History Interview (2005),Terry Kimble,Barbara Bogart,2005,2005,"Evanston, WY",,,Wyoming economy;Boom and bust cycle;Energy industry,Wyoming economy,Boom and bust cycle,Energy industry,audio-cassette,audio,Audio-cassette,,,,2005.001.001,Uinta County Museum,"1020 Front St., Evanston, WY 82930",(307) 789-8248,museum@nglconnection.net,http://www.uintacounty.com/28/Uinta-County-Museum,"""Boom and Bust in the Overthrust"" Project"
wyomingoralhistory003,George Barker Oral History Interview (2005),George Barker,Barbara Bogart,2005,2005,"Evanston, WY",,,Wyoming economy;Boom and bust cycle;Energy industry,Wyoming economy,Boom and bust cycle,Energy industry,audio-cassette,audio,Audio-cassette,,,,2005.001.002,Uinta County Museum,"1020 Front St., Evanston, WY 82930",(307) 789-8248,museum@nglconnection.net,http://www.uintacounty.com/28/Uinta-County-Museum,"""Boom and Bust in the Overthrust"" Project"
wyomingoralhistory004,Brad Jacobson Oral History Interview (2005),Brad Jacobson,Barbara Bogart,2005,2005,"Evanston, WY",,,Wyoming economy;Boom and bust cycle;Energy industry,Wyoming economy,Boom and bust cycle,Energy industry,audio-cassette,audio,Audio-cassette,,,,2005.001.003,Uinta County Museum,"1020 Front St., Evanston, WY 82930",(307) 789-8248,museum@nglconnection.net,http://www.uintacounty.com/28/Uinta-County-Museum,"""Boom and Bust in the Overthrust"" Project"
wyomingoralhistory005,Katie Beppler Oral History Interview (2005),Katie Beppler,Barbara Bogart,2005,2005,"Evanston, WY",,,Wyoming economy;Boom and bust cycle;Energy industry,Wyoming economy,Boom and bust cycle,Energy industry,audio-cassette,audio,Audio-cassette,,,,2005.001.004,Uinta County Museum,"1020 Front St., Evanston, WY 82930",(307) 789-8248,museum@nglconnection.net,http://www.uintacounty.com/28/Uinta-County-Museum,"""Boom and Bust in the Overthrust"" Project"
wyomingoralhistory006,Earl Neilson Oral History Interview (2005),Earl Neilson,Barbara Bogart,2005,2005,"Evanston, WY",,,Wyoming economy;Boom and bust cycle;Energy industry,Wyoming economy,Boom and bust cycle,Energy industry,audio-cassette,audio,Audio-cassette,,,,2005.001.005,Uinta County Museum,"1020 Front St., Evanston, WY 82930",(307) 789-8248,museum@nglconnection.net,http://www.uintacounty.com/28/Uinta-County-Museum,"""Boom and Bust in the Overthrust"" Project"
wyomingoralhistory007,Mike Moscinski Oral History Interview (2005),Mike Moscinski,Barbara Bogart,2005,2005,"Evanston, WY",,,Wyoming economy;Boom and bust cycle;Energy industry,Wyoming economy,Boom and bust cycle,Energy industry,audio-cassette,audio,Audio-cassette,,,,2005.001.006,Uinta County Museum,"1020 Front St., Evanston, WY 82930",(307) 789-8248,museum@nglconnection.net,http://www.uintacounty.com/28/Uinta-County-Museum,"""Boom and Bust in the Overthrust"" Project"
wyomingoralhistory008,David Furlong Oral History Interview (2005),David Furlong,Barbara Bogart,2005,2005,"Evanston, WY",,,Wyoming economy;Boom and bust cycle;Energy industry,Wyoming economy,Boom and bust cycle,Energy industry,audio-cassette,audio,Audio-cassette,,,,2005.001.007,Uinta County Museum,"1020 Front St., Evanston, WY 82930",(307) 789-8248,museum@nglconnection.net,http://www.uintacounty.com/28/Uinta-County-Museum,"""Boom and Bust in the Overthrust"" Project"
wyomingoralhistory009,Eric Barnes Oral History Interview (2005),Eric Barnes,Barbara Bogart,2005,2005,"Evanston, WY",,,Wyoming economy;Boom and bust cycle;Energy industry,Wyoming economy,Boom and bust cycle,Energy industry,audio-cassette,audio,Audio-cassette,,,,2005.001.008,Uinta County Museum,"1020 Front St., Evanston, WY 82930",(307) 789-8248,museum@nglconnection.net,http://www.uintacounty.com/28/Uinta-County-Museum,"""Boom and Bust in the Overthrust"" Project"
wyomingoralhistory010,Allen Thomason Oral History Interview (2005),Allen Thomason,Barbara Bogart,2005,2005,"Evanston, WY",,,Wyoming economy;Boom and bust cycle;Energy industry,Wyoming economy,Boom and bust cycle,Energy industry,audio-cassette,audio,Audio-cassette,,,,2005.001.009,Uinta County Museum,"1020 Front St., Evanston, WY 82930",(307) 789-8248,museum@nglconnection.net,http://www.uintacounty.com/28/Uinta-County-Museum,"""Boom and Bust in the Overthrust"" Project"
wyomingoralhistory011,Peggy Rounds Oral History Interview (2005),Peggy Rounds,Barbara Bogart,2005,2005,"Evanston, WY",,,Wyoming economy;Boom and bust cycle;Energy industry,Wyoming economy,Boom and bust cycle,Energy industry,audio-cassette,audio,Audio-cassette,,,,2005.001.010,Uinta County Museum,"1020 Front St., Evanston, WY 82930",(307) 789-8248,museum@nglconnection.net,http://www.uintacounty.com/28/Uinta-County-Museum,"""Boom and Bust in the Overthrust"" Project"
wyomingoralhistory012,Patty Willoughby Oral History Interview (2005),Patty Willoughby,Barbara Bogart,2005,2005,"Evanston, WY",,,Wyoming economy;Boom and bust cycle;Energy industry,Wyoming economy,Boom and bust cycle,Energy industry,audio-cassette,audio,Audio-cassette,,,,2005.001.011,Uinta County Museum,"1020 Front St., Evanston, WY 82930",(307) 789-8248,museum@nglconnection.net,http://www.uintacounty.com/28/Uinta-County-Museum,"""Boom and Bust in the Overthrust"" Project"
wyomingoralhistory013,Bubba O'Neill Oral History Interview (2005),Bubba O'Neill,Barbara Bogart,2005,2005,"Evanston, WY",,,Wyoming economy;Boom and bust cycle;Energy industry,Wyoming economy,Boom and bust cycle,Energy industry,audio-cassette,audio,Audio-cassette,,,,2005.001.012,Uinta County Museum,"1020 Front St., Evanston, WY 82930",(307) 789-8248,museum@nglconnection.net,http://www.uintacounty.com/28/Uinta-County-Museum,"""Boom and Bust in the Overthrust"" Project"
wyomingoralhistory014,Stan Taggart Oral History Interview (2005),Stan Taggart,Barbara Bogart,2005,2005,"Evanston, WY",,,Wyoming economy;Boom and bust cycle;Energy industry,Wyoming economy,Boom and bust cycle,Energy industry,audio-cassette,audio,Audio-cassette,,,,2005.001.013,Uinta County Museum,"1020 Front St., Evanston, WY 82930",(307) 789-8248,museum@nglconnection.net,http://www.uintacounty.com/28/Uinta-County-Museum,"""Boom and Bust in the Overthrust"" Project"
wyomingoralhistory015,Esta Baldwin & Mel Baldwin Oral History Interview (2005),Esta Baldwin & Mel Baldwin,Barbara Bogart,2005,2005,"Evanston, WY",,,Wyoming economy;Boom and bust cycle;Energy industry,Wyoming economy,Boom and bust cycle,Energy industry,audio-cassette,audio,Audio-cassette,,,,2005.001.014,Uinta County Museum,"1020 Front St., Evanston, WY 82930",(307) 789-8248,museum@nglconnection.net,http://www.uintacounty.com/28/Uinta-County-Museum,"""Boom and Bust in the Overthrust"" Project"
wyomingoralhistory016,Richard Meyer Oral History Interview (2005),Richard Meyer,Barbara Bogart,2005,2005,"Evanston, WY",,,Wyoming economy;Boom and bust cycle;Energy industry,Wyoming economy,Boom and bust cycle,Energy industry,audio-cassette,audio,Audio-cassette,,,,2005.001.015,Uinta County Museum,"1020 Front St., Evanston, WY 82930",(307) 789-8248,museum@nglconnection.net,http://www.uintacounty.com/28/Uinta-County-Museum,"""Boom and Bust in the Overthrust"" Project"
wyomingoralhistory017,Thomas Mealey Oral History Interview (2005),Thomas Mealey,Barbara Bogart,2005,2005,"Evanston, WY",,,Wyoming economy;Boom and bust cycle;Energy industry,Wyoming economy,Boom and bust cycle,Energy industry,audio-cassette,audio,Audio-cassette,,,,2005.001.016,Uinta County Museum,"1020 Front St., Evanston, WY 82930",(307) 789-8248,museum@nglconnection.net,http://www.uintacounty.com/28/Uinta-County-Museum,"""Boom and Bust in the Overthrust"" Project"
wyomingoralhistory018,Elaine Phillips Oral History Interview (2005),Elaine Phillips,Barbara Bogart,2005,2005,"Evanston, WY",,,Wyoming economy;Boom and bust cycle;Energy industry,Wyoming economy,Boom and bust cycle,Energy industry,audio-cassette,audio,Audio-cassette,,,,2005.001.017,Uinta County Museum,"1020 Front St., Evanston, WY 82930",(307) 789-8248,museum@nglconnection.net,http://www.uintacounty.com/28/Uinta-County-Museum,"""Boom and Bust in the Overthrust"" Project"
wyomingoralhistory019,John Fanos Oral History Interview (2005),John Fanos,Barbara Bogart,2005,2005,"Evanston, WY",,,Wyoming economy;Boom and bust cycle;Energy industry,Wyoming economy,Boom and bust cycle,Energy industry,audio-cassette,audio,Audio-cassette,,,,2005.001.018,Uinta County Museum,"1020 Front St., Evanston, WY 82930",(307) 789-8248,museum@nglconnection.net,http://www.uintacounty.com/28/Uinta-County-Museum,"""Boom and Bust in the Overthrust"" Project"
